Date,Sit_Start,Sit_End,Duration_sec
2025-12-14,23:24:13,23:25:45,92.2
2025-12-14,23:29:07,23:29:20,13.0
2025-12-14,23:50:50,23:51:11,21.3
2025-12-14,23:51:17,23:51:40,23.0
2025-12-14,23:51:49,23:51:55,5.5
2025-12-14,23:52:00,23:52:16,15.9
2025-12-14,23:52:33,23:52:37,3.3
2025-12-14,23:52:58,23:53:16,17.3
2025-12-14,23:53:26,23:53:27,1.4
2025-12-14,23:53:31,23:53:40,9.0
2025-12-14,23:53:52,23:54:01,9.2
2025-12-14,23:54:52,23:55:18,26.4
2025-12-15,00:00:34,00:00:58,24.0
2025-12-15,15:33:22,15:33:23,1.1
2025-12-15,15:33:24,15:33:26,2.1
